idx,Action
1940,No gesture
69208,Doing other things
102211,Doing other things
45139,Sliding Two Fingers Down
13464,Thumb Up
5426,No gesture
133789,Sliding Two Fingers Down
41015,Swiping Left
30637,Swiping Left
83742,Turning Hand Clockwise
138892,Turning Hand Clockwise
103563,Doing other things
43270,Sliding Two Fingers Down
13053,Sliding Two Fingers Down
56116,Doing other things
22765,Sliding Two Fingers Down
145105,Swiping Right
84601,Doing other things
125368,Sliding Two Fingers Down
4737,No gesture
17838,Turning Hand Clockwise
30562,Doing other things
87571,Doing other things
53365,Swiping Right
92037,Swiping Left
32212,Sliding Two Fingers Up
63292,Stop Sign
10296,Doing other things
147183,Turning Hand Clockwise
114422,Doing other things
95546,No gesture
69625,Swiping Right
116197,Stop Sign
78582,Sliding Two Fingers Up
101972,Thumb Up
105581,Doing other things
20584,Thumb Up
17502,No gesture
17695,Thumb Up
112395,Doing other things
138520,No gesture
63696,Sliding Two Fingers Down
123270,Swiping Left
95890,Swiping Left
36051,Doing other things
128158,Doing other things
986,Sliding Two Fingers Up
122912,Doing other things
52674,Sliding Two Fingers Down
132939,Stop Sign
81538,Swiping Left
59065,Swiping Right
135263,Swiping Right
96039,Stop Sign
33436,Swiping Left
129746,Stop Sign
43512,Doing other things
137459,No gesture
32739,Doing other things
607,Swiping Right
127460,Sliding Two Fingers Down
14059,Thumb Up
19831,Sliding Two Fingers Up
77144,No gesture
65303,Thumb Up
131106,Doing other things
30277,Thumb Up
142317,Doing other things
9980,Stop Sign
118202,Turning Hand Clockwise
65814,No gesture
84435,Doing other things
13001,Sliding Two Fingers Down
88894,Thumb Up
77151,Swiping Left
80334,Swiping Right
15079,Doing other things
133296,Turning Hand Clockwise
141028,Stop Sign
97865,Doing other things
119610,Stop Sign
49554,Sliding Two Fingers Up
79965,Turning Hand Clockwise
59057,Sliding Two Fingers Up
138966,Sliding Two Fingers Up
115365,Turning Hand Clockwise
138759,Swiping Left
113432,No gesture
10196,Sliding Two Fingers Up
26663,Sliding Two Fingers Up
115926,Thumb Up
144553,Doing other things
79438,Doing other things
59762,Sliding Two Fingers Down
110779,Doing other things
93811,No gesture
123953,Thumb Up
129330,Thumb Up
73285,Stop Sign
110482,Doing other things
128490,Stop Sign
117781,Sliding Two Fingers Down
105891,Swiping Right
131374,Doing other things
98723,Sliding Two Fingers Up
123878,No gesture
93389,Swiping Right
144166,Turning Hand Clockwise
9182,Doing other things
98924,Stop Sign
114508,Sliding Two Fingers Up
69330,Sliding Two Fingers Up
126386,Thumb Up
43151,Thumb Up
148061,Swiping Right
38118,Swiping Right
2451,Thumb Up
56329,Sliding Two Fingers Down
138208,Doing other things
9762,Thumb Up
129786,Thumb Up
117029,Doing other things
132472,Stop Sign
68564,Turning Hand Clockwise
56896,Sliding Two Fingers Down
40724,Stop Sign
79972,Sliding Two Fingers Down
126611,Stop Sign
35070,Doing other things
69763,Turning Hand Clockwise
68894,Sliding Two Fingers Down
129239,No gesture
15914,Sliding Two Fingers Up
129827,Stop Sign
127796,Swiping Right
94444,No gesture
143905,Doing other things
19745,Sliding Two Fingers Up
68240,Swiping Left
72197,Thumb Up
91595,No gesture
10107,No gesture
131698,Swiping Left
84623,Doing other things
97721,Sliding Two Fingers Up
69125,Thumb Up
8290,No gesture
29818,Sliding Two Fingers Down
26264,Swiping Right
128519,Swiping Left
78078,Sliding Two Fingers Up
123846,Doing other things
54553,Sliding Two Fingers Up
9660,Doing other things
13680,Sliding Two Fingers Up
14586,Swiping Left
85950,Doing other things
40786,No gesture
103753,Doing other things
33907,Sliding Two Fingers Up
57100,Sliding Two Fingers Down
101625,Swiping Right
90166,Swiping Right
104240,Sliding Two Fingers Up
130999,Swiping Right
32640,Doing other things
83660,Doing other things
38937,No gesture
45894,Doing other things
68311,Sliding Two Fingers Down
12579,Sliding Two Fingers Down
137479,Swiping Right
59905,Doing other things
20623,Sliding Two Fingers Up
146302,Turning Hand Clockwise
41018,Sliding Two Fingers Down
52229,Thumb Up
67183,Sliding Two Fingers Up
141908,Doing other things
133807,Sliding Two Fingers Up
46150,Swiping Left
123905,Sliding Two Fingers Up
8939,Thumb Up
108067,No gesture
49780,Turning Hand Clockwise
96215,Thumb Up
130159,Thumb Up
64138,Doing other things
72406,Swiping Left
92828,Swiping Right
67323,Doing other things
93864,Stop Sign
124124,Sliding Two Fingers Up
54421,Thumb Up
125712,Turning Hand Clockwise
68854,Thumb Up
33906,Thumb Up
49942,Doing other things
65676,Stop Sign
104966,Thumb Up
112556,Sliding Two Fingers Down
47127,Doing other things
59950,Swiping Left
128895,No gesture
6081,Thumb Up
141124,Swiping Left
146775,Doing other things
146167,Turning Hand Clockwise
56127,Turning Hand Clockwise
58264,Turning Hand Clockwise
68430,Thumb Up
89506,Sliding Two Fingers Up
75402,No gesture
83617,Stop Sign
54625,Swiping Right
118978,Swiping Right
94242,Doing other things
115205,Doing other things
26733,Sliding Two Fingers Up
36177,Sliding Two Fingers Up
124304,Doing other things
44660,Stop Sign
4090,Doing other things
13188,Doing other things
82569,No gesture
107355,Thumb Up
128571,No gesture
137050,Stop Sign
114641,Doing other things
71943,Doing other things
18221,Turning Hand Clockwise
96367,No gesture
18498,Doing other things
69614,Doing other things
128288,Thumb Up
69422,Thumb Up
102409,Stop Sign
96192,Doing other things
36121,Doing other things
28078,Sliding Two Fingers Up
21302,Turning Hand Clockwise
143252,Thumb Up
3076,No gesture
135191,Turning Hand Clockwise
114243,Sliding Two Fingers Down
109029,Stop Sign
34450,Sliding Two Fingers Up
105643,Doing other things
75743,Swiping Right
18046,Doing other things
33263,Doing other things
112091,Swiping Right
144145,No gesture
8392,Sliding Two Fingers Down
125587,Sliding Two Fingers Up
43839,Doing other things
62062,Thumb Up
31171,Stop Sign
42967,Stop Sign
34348,Turning Hand Clockwise
82395,No gesture
79748,Sliding Two Fingers Up
126896,Swiping Right
38347,Turning Hand Clockwise
4407,Doing other things
21978,No gesture
96067,Doing other things
109606,Swiping Right
98767,Sliding Two Fingers Up
4673,Swiping Left
61276,Turning Hand Clockwise
98795,Swiping Left
57059,Doing other things
60975,Doing other things
113189,Stop Sign
60644,No gesture
65203,Sliding Two Fingers Up
43060,Thumb Up
48523,Stop Sign
60670,Doing other things
5514,No gesture
98188,No gesture
4476,Sliding Two Fingers Up
137645,Stop Sign
8187,Doing other things
91967,Swiping Left
43796,Stop Sign
54765,Swiping Left
2891,Swiping Right
139156,No gesture
137205,Stop Sign
25640,No gesture
77485,Stop Sign
115835,Doing other things
101121,Doing other things
88816,Swiping Right
106839,Thumb Up
787,Stop Sign
9104,No gesture
121832,Stop Sign
65144,Sliding Two Fingers Down
38553,Doing other things
138728,Doing other things
134382,Turning Hand Clockwise
117196,Sliding Two Fingers Down
79049,Doing other things
125871,Stop Sign
105457,Doing other things
117339,Swiping Left
111783,Swiping Left
20569,Turning Hand Clockwise
86127,No gesture
98798,Stop Sign
103729,Stop Sign
9452,Swiping Right
100178,No gesture
84690,Turning Hand Clockwise
101209,No gesture
13520,Swiping Left
62236,Doing other things
77756,Swiping Right
75668,Sliding Two Fingers Down
27741,Sliding Two Fingers Down
23405,Swiping Left
105475,Doing other things
40202,Thumb Up
34197,No gesture
78468,Doing other things
11985,Swiping Right
114386,Doing other things
66214,Thumb Up
68280,Stop Sign
130683,Doing other things
97291,Sliding Two Fingers Down
38983,Swiping Right
70749,Sliding Two Fingers Down
108541,Thumb Up
121181,Doing other things
11097,No gesture
14705,Swiping Right
105340,No gesture
57726,Swiping Left
120905,No gesture
103415,Sliding Two Fingers Up
129255,Swiping Left
85636,Turning Hand Clockwise
93954,Turning Hand Clockwise
14729,Doing other things
69700,Doing other things
124245,Swiping Left
128366,Turning Hand Clockwise
42909,Doing other things
9904,Swiping Left
109660,No gesture
141417,Swiping Right
147709,Swiping Left
12864,No gesture
69282,Doing other things
108350,Sliding Two Fingers Down
95231,Doing other things
146501,Swiping Right
100881,Sliding Two Fingers Down
51416,No gesture
91869,Doing other things
3487,Thumb Up
23671,Swiping Left
71651,Swiping Right
5468,Stop Sign
51983,Swiping Right
49487,Doing other things
4207,Turning Hand Clockwise
121134,Stop Sign
66728,Doing other things
131242,Swiping Left
145662,No gesture
44294,Sliding Two Fingers Up
65645,Swiping Right
43013,No gesture
79021,Swiping Right
13099,No gesture
96823,Turning Hand Clockwise
93886,Swiping Right
58870,Sliding Two Fingers Up
89108,Sliding Two Fingers Up
20935,Sliding Two Fingers Down
83290,Thumb Up
92928,Stop Sign
45208,No gesture
88337,Stop Sign
113968,Sliding Two Fingers Down
59390,Swiping Left
60152,Doing other things
67376,Swiping Left
91287,Swiping Right
58333,Doing other things
99409,Turning Hand Clockwise
15929,Turning Hand Clockwise
94463,Swiping Right
82663,Sliding Two Fingers Down
79895,No gesture
162,Swiping Left
123257,Doing other things
13657,Stop Sign
45366,Sliding Two Fingers Down
64127,Stop Sign
48763,Doing other things
87524,Swiping Right
32331,Sliding Two Fingers Up
114895,Doing other things
117444,Swiping Left
104874,Swiping Left
128398,Thumb Up
18777,Sliding Two Fingers Down
114087,Thumb Up
144898,Stop Sign
86550,Stop Sign
111942,Swiping Left
145084,Stop Sign
48913,Stop Sign
123084,Swiping Right
11513,Doing other things
57791,Turning Hand Clockwise
19921,Swiping Left
88620,Sliding Two Fingers Up
91935,Doing other things
72394,Turning Hand Clockwise
95511,Swiping Left
854,Swiping Left
17264,Thumb Up
128405,Turning Hand Clockwise
50520,Thumb Up
53458,Sliding Two Fingers Up
51326,Doing other things
111825,Swiping Right
108191,Thumb Up
59115,Sliding Two Fingers Down
2602,Swiping Left
102550,Sliding Two Fingers Up
15920,Doing other things
51689,Doing other things
128877,Sliding Two Fingers Down
105442,Stop Sign
28465,Sliding Two Fingers Up
120230,Thumb Up
37591,Doing other things
40365,Swiping Left
50232,No gesture
43585,Thumb Up
66131,Doing other things
108223,Doing other things
64725,Stop Sign
142280,Swiping Right
9743,Swiping Right
12139,Stop Sign
140070,Doing other things
27073,Sliding Two Fingers Down
73355,Stop Sign
74222,Turning Hand Clockwise
62442,Swiping Left
4555,Doing other things
61440,Doing other things
14416,Sliding Two Fingers Up
141349,Thumb Up
73722,Swiping Right
170,No gesture
104281,Swiping Left
116538,Sliding Two Fingers Down
114832,No gesture
63238,Swiping Right
14241,Stop Sign
130202,Thumb Up
113723,Swiping Right
148015,Thumb Up
120932,Doing other things
87608,Sliding Two Fingers Down
146807,Doing other things
40203,Doing other things
118853,Sliding Two Fingers Up
38124,Sliding Two Fingers Up
58361,Thumb Up
22862,Sliding Two Fingers Down
23912,Turning Hand Clockwise
26923,Stop Sign
67336,Sliding Two Fingers Up
96043,Stop Sign
94260,Doing other things
146119,Thumb Up
73230,Doing other things
135934,No gesture
29707,Swiping Right
108961,Swiping Right
135295,No gesture
14551,Swiping Left
20719,Doing other things
98137,Sliding Two Fingers Up
125792,Turning Hand Clockwise
139513,Swiping Left
98555,Thumb Up
26915,Doing other things
45065,No gesture
62560,Sliding Two Fingers Up
12263,Turning Hand Clockwise
123149,Turning Hand Clockwise
78062,Swiping Left
25454,Doing other things
5944,Thumb Up
49736,Swiping Left
8526,Doing other things
65839,Sliding Two Fingers Up
60277,Stop Sign
57115,Turning Hand Clockwise
42030,Swiping Right
16451,Swiping Left
133889,Sliding Two Fingers Up
92287,Swiping Right
75369,Sliding Two Fingers Down
122828,Swiping Right
81323,Doing other things
37714,Sliding Two Fingers Down
50484,No gesture
29061,Swiping Right
121862,No gesture
31625,Swiping Right
32711,Sliding Two Fingers Down
47666,Sliding Two Fingers Down
110189,Thumb Up
26532,Sliding Two Fingers Up
117325,Swiping Left
141753,Doing other things
52249,No gesture
80775,Sliding Two Fingers Down
111823,Sliding Two Fingers Down
118186,Stop Sign
89024,Sliding Two Fingers Down
73674,No gesture
141767,Stop Sign
29248,Doing other things
57153,Stop Sign
89428,Sliding Two Fingers Up
90963,Sliding Two Fingers Down
108192,Stop Sign
24275,Stop Sign
12769,No gesture
138900,Swiping Right
46046,Turning Hand Clockwise
72623,Swiping Right
137285,Swiping Right
86227,Swiping Left
15209,Thumb Up
142824,Sliding Two Fingers Up
3853,Sliding Two Fingers Down
27304,Sliding Two Fingers Down
18704,No gesture
74664,No gesture
132506,Turning Hand Clockwise
131112,Doing other things
11684,Doing other things
39192,Thumb Up
85411,Doing other things
55182,Doing other things
47904,Stop Sign
66307,Stop Sign
8449,Swiping Right
97798,Stop Sign
32340,No gesture
52194,Doing other things
78849,Sliding Two Fingers Down
123169,Swiping Left
121576,Sliding Two Fingers Up
58076,Doing other things
1910,Doing other things
114952,Sliding Two Fingers Up
111438,Turning Hand Clockwise
102867,Stop Sign
66388,No gesture
28934,Doing other things
6609,Turning Hand Clockwise
22040,Doing other things
75217,Swiping Right
139566,No gesture
16706,Doing other things
139214,Turning Hand Clockwise
105346,Thumb Up
100977,Sliding Two Fingers Down
103926,Swiping Left
41656,Doing other things
93625,Swiping Left
88443,Turning Hand Clockwise
87845,Thumb Up
107474,Doing other things
122585,Doing other things
20084,Thumb Up
60698,Thumb Up
80920,Doing other things
101050,Doing other things
139023,No gesture
120854,Thumb Up
122578,Sliding Two Fingers Down
101521,Swiping Right
147573,Swiping Right
37672,Doing other things
94258,Sliding Two Fingers Down
46724,Swiping Right
97503,Doing other things
27249,Sliding Two Fingers Down
27010,Turning Hand Clockwise
9368,Swiping Right
83603,Doing other things
13328,Swiping Right
144363,Turning Hand Clockwise
21556,Swiping Left
51989,Doing other things
31638,Swiping Left
97579,Doing other things
123858,Doing other things
79033,Swiping Left
28951,Sliding Two Fingers Down
29316,Sliding Two Fingers Up
78347,Thumb Up
32425,Swiping Right
5389,Sliding Two Fingers Down
136832,Thumb Up
26372,Swiping Left
48725,Swiping Right
133545,Sliding Two Fingers Up
48528,Swiping Left
55459,Swiping Left
124266,Stop Sign
141418,Swiping Right
29627,Turning Hand Clockwise
21767,Sliding Two Fingers Up
3996,No gesture
127087,Sliding Two Fingers Up
12293,Swiping Right
67519,Sliding Two Fingers Down
121872,Doing other things
19284,Doing other things
64825,Thumb Up
121924,Sliding Two Fingers Up
105087,No gesture
129976,Sliding Two Fingers Up
100345,No gesture
28575,Doing other things
37011,Swiping Right
140460,Thumb Up
62629,Doing other things
93445,Swiping Right
31381,Swiping Right
72760,Swiping Right
44343,Doing other things
33233,Sliding Two Fingers Down
96822,Doing other things
107742,Swiping Left
64419,Thumb Up
134876,Swiping Right
91732,No gesture
110020,No gesture
53449,Sliding Two Fingers Up
86659,Doing other things
100296,No gesture
25307,Thumb Up
145740,No gesture
4182,Sliding Two Fingers Down
18529,Thumb Up
74997,Doing other things
112797,Stop Sign
52473,Doing other things
113728,No gesture
43388,Stop Sign
146370,Stop Sign
9111,Sliding Two Fingers Up
135401,Stop Sign
20493,Thumb Up
141178,Doing other things
147397,Thumb Up
73541,No gesture
138109,Sliding Two Fingers Down
6580,Stop Sign
21566,Swiping Left
93199,Doing other things
75392,Sliding Two Fingers Down
19340,Swiping Left
32684,Swiping Left
43238,Doing other things
93588,Swiping Right
131099,Turning Hand Clockwise
1353,Thumb Up
60876,Doing other things
85079,Turning Hand Clockwise
121768,Turning Hand Clockwise
137565,Doing other things
61547,Thumb Up
47194,Turning Hand Clockwise
90477,Stop Sign
60971,Thumb Up
20704,Swiping Left
145981,Swiping Right
108684,Doing other things
46945,Swiping Right
140666,Turning Hand Clockwise
99206,Turning Hand Clockwise
22474,No gesture
1837,Doing other things
133991,Doing other things
64779,Stop Sign
131948,Doing other things
113915,Thumb Up
72710,Sliding Two Fingers Up
62441,Doing other things
44298,Swiping Right
93373,Stop Sign
65116,Stop Sign
45737,No gesture
43845,Sliding Two Fingers Up
21960,Sliding Two Fingers Down
47031,Sliding Two Fingers Up
95669,Swiping Right
68256,Swiping Right
110607,Thumb Up
42102,Stop Sign
21050,Stop Sign
129606,Thumb Up
11189,No gesture
87335,Sliding Two Fingers Down
103569,Doing other things
81156,Doing other things
35297,Sliding Two Fingers Down
117486,Swiping Right
17851,Doing other things
13492,Sliding Two Fingers Up
112134,Stop Sign
87352,Turning Hand Clockwise
55307,Doing other things
142013,Thumb Up
131409,Doing other things
135691,Swiping Left
77453,Swiping Right
79579,Thumb Up
93871,Thumb Up
81086,Doing other things
71424,Stop Sign
22554,Thumb Up
143255,Thumb Up
144362,No gesture
27654,Stop Sign
127020,Sliding Two Fingers Up
82991,Sliding Two Fingers Up
140073,Thumb Up
109483,Doing other things
100164,Doing other things
22360,Swiping Left
9146,Turning Hand Clockwise
20938,Doing other things
9495,Doing other things
32364,Doing other things
80330,Doing other things
49685,Thumb Up
17149,Stop Sign
26233,Swiping Right
38480,Swiping Right
19661,Swiping Left
45981,No gesture
58155,Thumb Up
143260,Swiping Left
89,Sliding Two Fingers Up
18829,Thumb Up
111399,No gesture
298,Swiping Right
66181,Sliding Two Fingers Up
93615,Swiping Left
111364,Swiping Left
70757,Sliding Two Fingers Up
8615,Doing other things
80734,Stop Sign
135555,Doing other things
101301,Sliding Two Fingers Down
99154,Swiping Right
30180,Stop Sign
9518,Turning Hand Clockwise
118681,Sliding Two Fingers Up
36851,Doing other things
37279,No gesture
95017,Thumb Up
95099,Doing other things
129578,Sliding Two Fingers Up
28375,Thumb Up
47122,Swiping Left
142072,Doing other things
126539,Stop Sign
138033,Sliding Two Fingers Down
44954,No gesture
46189,Turning Hand Clockwise
135560,Swiping Left
115597,Doing other things
15973,Thumb Up
81893,Stop Sign
92786,Swiping Left
112998,Swiping Left
21949,Stop Sign
104977,Swiping Left
29184,Sliding Two Fingers Down
55158,Swiping Right
77049,Turning Hand Clockwise
142272,Turning Hand Clockwise
130811,Swiping Left
53877,Doing other things
141814,Stop Sign
63527,Doing other things
127482,Doing other things
143948,No gesture
64095,Swiping Left
26644,No gesture
13870,No gesture
24113,Doing other things
143095,Doing other things
129897,No gesture
28603,Swiping Right
65489,Swiping Right
118031,Sliding Two Fingers Up
124455,Swiping Right
128985,Turning Hand Clockwise
110414,Turning Hand Clockwise
95901,Swiping Right
141845,Stop Sign
99450,Stop Sign
86802,Sliding Two Fingers Down
65692,No gesture
38868,Swiping Right
119261,Stop Sign
89512,Stop Sign
60216,Thumb Up
112592,Thumb Up
142902,Turning Hand Clockwise
97622,Doing other things
105007,Swiping Left
129181,Swiping Right
63963,Doing other things
143790,Doing other things
107919,Doing other things
106656,Thumb Up
52207,Doing other things
20628,No gesture
32828,Swiping Left
3691,Sliding Two Fingers Down
91516,No gesture
59919,Doing other things
46067,Doing other things
91793,Sliding Two Fingers Up
49803,Sliding Two Fingers Down
112494,Doing other things
43887,Swiping Right
42618,Stop Sign
115299,Swiping Right
33433,No gesture
20534,Stop Sign
49494,Swiping Right
33342,Doing other things
44957,Sliding Two Fingers Down
51296,Doing other things
24944,Swiping Left
33804,Sliding Two Fingers Down
37372,Turning Hand Clockwise
142231,Swiping Left
65635,Doing other things
62013,Swiping Right
75793,Stop Sign
33432,Doing other things
108021,Turning Hand Clockwise
47624,Sliding Two Fingers Up
37198,No gesture
130231,Sliding Two Fingers Down
131715,Doing other things
102960,Swiping Right
130500,Sliding Two Fingers Up
74387,Stop Sign
49460,Doing other things
109442,Doing other things
10276,Turning Hand Clockwise
144913,Stop Sign
75970,Thumb Up
46613,Sliding Two Fingers Up
29734,Swiping Right
62181,Doing other things
133471,Turning Hand Clockwise
38249,Doing other things
54690,Thumb Up
143023,Stop Sign
87430,Swiping Left
5281,No gesture
57960,Sliding Two Fingers Down
8614,Sliding Two Fingers Down
121393,No gesture
117681,Swiping Right
82017,Thumb Up
117971,Sliding Two Fingers Up
31659,Stop Sign
120373,Doing other things
4948,Swiping Left
9323,Sliding Two Fingers Up
14157,Sliding Two Fingers Down
26397,Sliding Two Fingers Up
72450,Thumb Up
43992,Swiping Left
77393,No gesture
4160,Sliding Two Fingers Up
102619,Sliding Two Fingers Down
58381,Doing other things
81973,Sliding Two Fingers Up
42508,Stop Sign
77751,Turning Hand Clockwise
129562,Swiping Right
85174,Stop Sign
29380,Stop Sign
105604,Doing other things
9999,Doing other things
38452,Swiping Left
92217,Doing other things
141628,Stop Sign
31964,Turning Hand Clockwise
6044,Swiping Right
33130,Doing other things
48727,Sliding Two Fingers Up
40135,Swiping Right
87869,Swiping Left
116704,Swiping Left
70285,Stop Sign
142396,Sliding Two Fingers Down
112226,Sliding Two Fingers Down
52902,Doing other things
61787,Stop Sign
94332,Turning Hand Clockwise
110568,Thumb Up
11825,Swiping Right
16902,Doing other things
13337,Swiping Right
41020,Swiping Left
48312,Sliding Two Fingers Up
135740,Thumb Up
20287,No gesture
45276,Thumb Up
21501,Sliding Two Fingers Up
97845,Swiping Right
38247,Swiping Left
47699,Stop Sign
114418,Sliding Two Fingers Down
104964,Turning Hand Clockwise
106769,Sliding Two Fingers Down
80701,Swiping Left
85244,Swiping Left
55548,No gesture
108369,Swiping Left
66477,Thumb Up
68776,Thumb Up
64052,Sliding Two Fingers Down
18039,Doing other things
43420,Doing other things
66021,Swiping Right
132189,Swiping Right
81586,Doing other things
58844,Doing other things
148082,Doing other things
101445,Doing other things
80487,Swiping Right
141460,Doing other things
15825,Thumb Up
10554,Thumb Up
70122,Doing other things
120827,Stop Sign
5953,Doing other things
62,Sliding Two Fingers Up
89604,Turning Hand Clockwise
141254,Stop Sign
57998,No gesture
89297,No gesture
77281,Sliding Two Fingers Up
25520,Doing other things
137740,Sliding Two Fingers Down
117721,Stop Sign
110176,Thumb Up
23579,Stop Sign
131977,Stop Sign
42795,Turning Hand Clockwise
101926,Swiping Right
32638,Thumb Up
93036,Swiping Left
52861,Sliding Two Fingers Up
126881,Sliding Two Fingers Down
145115,Turning Hand Clockwise
111348,Sliding Two Fingers Up
107158,Doing other things
90121,Doing other things
56878,Sliding Two Fingers Up
82552,Swiping Left
115220,Thumb Up
100889,Swiping Left
125058,Stop Sign
86282,Stop Sign
31924,Sliding Two Fingers Down
140589,Sliding Two Fingers Up
34110,Swiping Left
43285,Swiping Left
147967,Swiping Left
20879,No gesture
98874,Swiping Right
94138,Sliding Two Fingers Up
38946,Swiping Left
19754,Stop Sign
144740,Thumb Up
125809,Swiping Right
79831,No gesture
60991,Swiping Left
130392,Thumb Up
11333,Swiping Right
114138,Turning Hand Clockwise
54470,Swiping Left
41824,No gesture
18973,Swiping Right
82380,Thumb Up
39938,Thumb Up
22133,Stop Sign
88322,Sliding Two Fingers Down
64602,Swiping Right
37605,Doing other things
24357,Sliding Two Fingers Down
128370,Sliding Two Fingers Down
744,Stop Sign
108638,Stop Sign
86882,Doing other things
130903,Doing other things
135799,Swiping Left
77913,Sliding Two Fingers Up
2619,Sliding Two Fingers Down
128851,Doing other things
38706,Turning Hand Clockwise
135584,Sliding Two Fingers Down
69430,Swiping Right
91822,Sliding Two Fingers Up
143196,Sliding Two Fingers Up
35114,Swiping Right
101053,Doing other things
96880,Thumb Up
66320,Thumb Up
97535,No gesture
66219,Swiping Right
100025,Doing other things
107578,Doing other things
84162,Doing other things
30065,Stop Sign
86072,Doing other things
94464,Sliding Two Fingers Up
19504,No gesture
93140,Doing other things
128008,Doing other things
140941,Turning Hand Clockwise
80792,Doing other things
115466,No gesture
53373,No gesture
61270,Stop Sign
57363,Doing other things
60750,Sliding Two Fingers Down
42059,Doing other things
62781,Sliding Two Fingers Down
48933,Doing other things
80293,Sliding Two Fingers Down
88637,No gesture
2083,No gesture
110315,Doing other things
60278,Doing other things
111421,Doing other things
64529,Stop Sign
31623,Stop Sign
145876,Sliding Two Fingers Up
115822,Sliding Two Fingers Up
44395,Swiping Left
107180,Turning Hand Clockwise
93757,No gesture
49729,Sliding Two Fingers Up
74903,Turning Hand Clockwise
83355,Doing other things
48557,Thumb Up
100294,No gesture
18307,Sliding Two Fingers Up
140395,No gesture
37684,Doing other things
48186,Doing other things
88225,No gesture
9393,Swiping Right
98059,No gesture
66967,Thumb Up
17087,Turning Hand Clockwise
104882,Sliding Two Fingers Up
29665,Swiping Left
124496,Doing other things
127206,Sliding Two Fingers Down
33699,Sliding Two Fingers Up
99798,Swiping Left
136714,Doing other things
86787,Sliding Two Fingers Up
77749,Stop Sign
34682,Sliding Two Fingers Up
55739,Doing other things
75765,Doing other things
90835,Sliding Two Fingers Down
83092,Turning Hand Clockwise
76385,Sliding Two Fingers Down
117076,Doing other things
140134,Doing other things
43210,Sliding Two Fingers Down
21698,Swiping Left
97194,Stop Sign
142540,Thumb Up
70564,Doing other things
81271,No gesture
66602,Sliding Two Fingers Down
65967,Swiping Left
96309,Stop Sign
136678,Doing other things
142262,No gesture
32813,Turning Hand Clockwise
62161,Swiping Right
31692,Swiping Left
120067,Sliding Two Fingers Up
93309,No gesture
71753,Swiping Left
64223,No gesture
60321,Sliding Two Fingers Up
144624,Doing other things
6410,Stop Sign
90847,Doing other things
109224,Sliding Two Fingers Down
140957,Sliding Two Fingers Down
121240,Sliding Two Fingers Down
118897,Swiping Left
122155,Sliding Two Fingers Down
93651,Swiping Right
110121,Doing other things
111346,Stop Sign
75391,Turning Hand Clockwise
28229,Sliding Two Fingers Down
21966,Sliding Two Fingers Up
126430,Swiping Left
138152,Doing other things
107969,Turning Hand Clockwise
52974,Sliding Two Fingers Down
141464,Thumb Up
142943,Doing other things
73227,Thumb Up
60828,Sliding Two Fingers Down
31241,Stop Sign
76217,Sliding Two Fingers Up
106806,No gesture
117506,Turning Hand Clockwise
21374,Thumb Up
100911,Sliding Two Fingers Down
5236,Doing other things
133087,Doing other things
41853,Doing other things
6879,Doing other things
28158,Swiping Left
77249,Sliding Two Fingers Down
62544,Swiping Right
100195,No gesture
69846,Doing other things
118205,Stop Sign
46783,Doing other things
32689,Sliding Two Fingers Up
126109,Thumb Up
33373,Doing other things
82702,Doing other things
47022,Stop Sign
140508,Swiping Right
29700,No gesture
3976,Sliding Two Fingers Up
48336,Sliding Two Fingers Up
29278,Doing other things
61158,Doing other things
86767,Turning Hand Clockwise
10816,Thumb Up
111873,Sliding Two Fingers Up
98117,Thumb Up
128057,Sliding Two Fingers Up
27980,Thumb Up
81145,No gesture
7425,Sliding Two Fingers Down
46941,Thumb Up
118098,No gesture
87655,Swiping Right
76734,Thumb Up
63856,Swiping Left
25771,No gesture
63660,No gesture
16930,No gesture
4371,Doing other things
140529,No gesture
140297,Swiping Left
60812,Stop Sign
86246,Doing other things
32041,Thumb Up
37584,Doing other things
78257,Turning Hand Clockwise
33774,No gesture
22810,Stop Sign
63302,Thumb Up
97279,Sliding Two Fingers Up
102692,Turning Hand Clockwise
39228,Doing other things
84480,Doing other things
74465,No gesture
54263,Doing other things
38585,Swiping Right
116633,Doing other things
38275,Stop Sign
111369,Swiping Left
105620,Doing other things
26656,Thumb Up
61651,Doing other things
60239,Stop Sign
87789,No gesture
41531,Turning Hand Clockwise
116368,Swiping Right
90910,Swiping Left
118481,Turning Hand Clockwise
5359,Doing other things
113890,Doing other things
24012,Sliding Two Fingers Up
76148,Doing other things
87654,No gesture
16579,Turning Hand Clockwise
63947,Swiping Right
113847,No gesture
2291,Swiping Left
122262,Sliding Two Fingers Down
138258,Thumb Up
77754,Doing other things
47263,Sliding Two Fingers Up
28047,No gesture
46114,Turning Hand Clockwise
46922,Thumb Up
145420,Swiping Left
56137,Doing other things
345,Sliding Two Fingers Down
118933,Doing other things
122295,Doing other things
96629,Turning Hand Clockwise
91455,Sliding Two Fingers Up
13440,Sliding Two Fingers Up
65033,Thumb Up
79863,Doing other things
138795,Doing other things
117964,Stop Sign
38563,No gesture
68025,No gesture
996,Stop Sign
47444,No gesture
80085,Sliding Two Fingers Up
136430,Swiping Right
72921,No gesture
24166,Sliding Two Fingers Down
58108,Swiping Left
106797,Doing other things
51677,Doing other things
46437,Sliding Two Fingers Up
90510,Sliding Two Fingers Up
43580,Doing other things
